Date,Close,Volume,Name
2013-04-22,47.919998,14265400.0,Healthcare-Merck
2013-04-23,48.630001,17653500.0,Healthcare-Merck
2013-04-24,47.950001,15546200.0,Healthcare-Merck
2013-04-25,47.349998,15937100.0,Healthcare-Merck
2013-04-26,47.869999,10601600.0,Healthcare-Merck
2013-04-29,47.82,11375900.0,Healthcare-Merck
2013-04-30,47.0,19744700.0,Healthcare-Merck
2013-05-01,45.689999,39740800.0,Healthcare-Merck
2013-05-02,45.73,14245600.0,Healthcare-Merck
2013-05-03,45.669998,12874600.0,Healthcare-Merck
2013-05-06,44.98,14096300.0,Healthcare-Merck
2013-05-07,45.27,14528700.0,Healthcare-Merck
2013-05-08,44.990002,18308300.0,Healthcare-Merck
2013-05-09,45.490002,14175700.0,Healthcare-Merck
2013-05-10,45.950001,13923800.0,Healthcare-Merck
2013-05-13,46.169998,10246200.0,Healthcare-Merck
2013-05-14,46.650002,13413900.0,Healthcare-Merck
2013-05-15,46.73,13197800.0,Healthcare-Merck
2013-05-16,46.369999,11962700.0,Healthcare-Merck
2013-05-17,45.990002,21730400.0,Healthcare-Merck
2013-05-20,45.209999,16730000.0,Healthcare-Merck
2013-05-21,47.330002,47020700.0,Healthcare-Merck
2013-05-22,46.709999,42624900.0,Healthcare-Merck
2013-05-23,47.330002,22579600.0,Healthcare-Merck
2013-05-24,47.16,15796000.0,Healthcare-Merck
2013-05-28,47.619999,17663900.0,Healthcare-Merck
2013-05-29,46.869999,16051700.0,Healthcare-Merck
2013-05-30,47.07,15203500.0,Healthcare-Merck
2013-05-31,46.700001,21726100.0,Healthcare-Merck
2013-06-03,48.450001,37982300.0,Healthcare-Merck
2013-06-04,49.439999,37008600.0,Healthcare-Merck
2013-06-05,48.73,24923100.0,Healthcare-Merck
2013-06-06,48.599998,19895900.0,Healthcare-Merck
2013-06-07,48.189999,50431900.0,Healthcare-Merck
2013-06-10,48.459999,48557200.0,Healthcare-Merck
2013-06-11,47.560001,54150100.0,Healthcare-Merck
2013-06-12,47.25,16853900.0,Healthcare-Merck
2013-06-13,47.900002,14773200.0,Healthcare-Merck
2013-06-14,47.950001,13632300.0,Healthcare-Merck
2013-06-17,47.799999,12485200.0,Healthcare-Merck
2013-06-18,47.75,11816800.0,Healthcare-Merck
2013-06-19,47.580002,17994200.0,Healthcare-Merck
2013-06-20,46.310001,17824900.0,Healthcare-Merck
2013-06-21,47.0,24287800.0,Healthcare-Merck
2013-06-24,46.41,18080700.0,Healthcare-Merck
2013-06-25,46.23,12023000.0,Healthcare-Merck
2013-06-26,46.689999,11435900.0,Healthcare-Merck
2013-06-27,47.279999,11639800.0,Healthcare-Merck
2013-06-28,46.450001,16339800.0,Healthcare-Merck
2013-07-01,46.32,13112200.0,Healthcare-Merck
2013-07-02,46.549999,11315900.0,Healthcare-Merck
2013-07-03,46.549999,6874000.0,Healthcare-Merck
2013-07-05,47.16,8103000.0,Healthcare-Merck
2013-07-08,47.41,10977400.0,Healthcare-Merck
2013-07-09,47.619999,10316700.0,Healthcare-Merck
2013-07-10,47.959999,7780700.0,Healthcare-Merck
2013-07-11,48.310001,11442000.0,Healthcare-Merck
2013-07-12,48.540001,8855500.0,Healthcare-Merck
2013-07-15,48.52,9654400.0,Healthcare-Merck
2013-07-16,48.23,15273600.0,Healthcare-Merck
2013-07-17,48.130001,9507800.0,Healthcare-Merck
2013-07-18,47.400002,17822000.0,Healthcare-Merck
2013-07-19,47.790001,14228700.0,Healthcare-Merck
2013-07-22,47.720001,11318700.0,Healthcare-Merck
2013-07-23,47.93,9242000.0,Healthcare-Merck
2013-07-24,47.77,8941200.0,Healthcare-Merck
2013-07-25,48.169998,10040400.0,Healthcare-Merck
2013-07-26,48.490002,9846200.0,Healthcare-Merck
2013-07-29,48.34,10291600.0,Healthcare-Merck
2013-07-30,48.049999,16778200.0,Healthcare-Merck
2013-07-31,48.169998,21576400.0,Healthcare-Merck
2013-08-01,48.580002,13547800.0,Healthcare-Merck
2013-08-02,48.540001,8922200.0,Healthcare-Merck
2013-08-05,48.529999,6789100.0,Healthcare-Merck
2013-08-06,48.439999,9944500.0,Healthcare-Merck
2013-08-07,48.549999,9666300.0,Healthcare-Merck
2013-08-08,48.470001,8631400.0,Healthcare-Merck
2013-08-09,48.389999,7888200.0,Healthcare-Merck
2013-08-12,48.470001,9935100.0,Healthcare-Merck
2013-08-13,48.43,7455100.0,Healthcare-Merck
2013-08-14,48.57,8530900.0,Healthcare-Merck
2013-08-15,47.970001,11341500.0,Healthcare-Merck
2013-08-16,47.700001,13200400.0,Healthcare-Merck
2013-08-19,47.580002,8378300.0,Healthcare-Merck
2013-08-20,47.560001,14095000.0,Healthcare-Merck
2013-08-21,47.459999,10800000.0,Healthcare-Merck
2013-08-22,47.810001,8630300.0,Healthcare-Merck
2013-08-23,47.73,9176300.0,Healthcare-Merck
2013-08-26,47.619999,9220200.0,Healthcare-Merck
2013-08-27,47.110001,10842400.0,Healthcare-Merck
2013-08-28,47.09,9812200.0,Healthcare-Merck
2013-08-29,47.099998,9695400.0,Healthcare-Merck
2013-08-30,47.290001,8326300.0,Healthcare-Merck
2013-09-03,47.209999,14212400.0,Healthcare-Merck
2013-09-04,47.68,11065200.0,Healthcare-Merck
2013-09-05,47.509998,7898200.0,Healthcare-Merck
2013-09-06,47.490002,26664900.0,Healthcare-Merck
2013-09-09,47.740002,29180200.0,Healthcare-Merck
2013-09-10,47.98,30808600.0,Healthcare-Merck
2013-09-11,48.139999,13379100.0,Healthcare-Merck
2013-09-12,47.849998,9502400.0,Healthcare-Merck
2013-09-13,47.790001,7681000.0,Healthcare-Merck
2013-09-16,48.189999,9428200.0,Healthcare-Merck
2013-09-17,48.009998,7703300.0,Healthcare-Merck
2013-09-18,48.400002,14008700.0,Healthcare-Merck
2013-09-19,48.259998,9328000.0,Healthcare-Merck
2013-09-20,48.009998,27961000.0,Healthcare-Merck
2013-09-23,47.68,12605700.0,Healthcare-Merck
2013-09-24,47.529999,13300600.0,Healthcare-Merck
2013-09-25,47.669998,11356300.0,Healthcare-Merck
2013-09-26,47.68,10261100.0,Healthcare-Merck
2013-09-27,47.790001,10510300.0,Healthcare-Merck
2013-09-30,47.610001,16244000.0,Healthcare-Merck
2013-10-01,48.740002,27339200.0,Healthcare-Merck
2013-10-02,48.369999,13975300.0,Healthcare-Merck
2013-10-03,48.360001,17900500.0,Healthcare-Merck
2013-10-04,48.23,11570800.0,Healthcare-Merck
2013-10-07,47.889999,9195800.0,Healthcare-Merck
2013-10-08,47.75,14020700.0,Healthcare-Merck
2013-10-09,47.27,15353400.0,Healthcare-Merck
2013-10-10,47.490002,17262400.0,Healthcare-Merck
2013-10-11,47.290001,10253500.0,Healthcare-Merck
2013-10-14,46.75,20674500.0,Healthcare-Merck
2013-10-15,46.57,14161000.0,Healthcare-Merck
2013-10-16,47.169998,11102700.0,Healthcare-Merck
2013-10-17,47.110001,13878500.0,Healthcare-Merck
2013-10-18,46.610001,20632400.0,Healthcare-Merck
2013-10-21,46.509998,16678000.0,Healthcare-Merck
2013-10-22,46.470001,15841500.0,Healthcare-Merck
2013-10-23,46.560001,9650700.0,Healthcare-Merck
2013-10-24,46.220001,11201100.0,Healthcare-Merck
2013-10-25,46.540001,17894000.0,Healthcare-Merck
2013-10-28,45.349998,27297600.0,Healthcare-Merck
2013-10-29,45.580002,15890000.0,Healthcare-Merck
2013-10-30,45.240002,9958500.0,Healthcare-Merck
2013-10-31,45.09,14994200.0,Healthcare-Merck
2013-11-01,45.23,20893500.0,Healthcare-Merck
2013-11-04,45.720001,16177500.0,Healthcare-Merck
2013-11-05,45.360001,10420500.0,Healthcare-Merck
2013-11-06,45.959999,12361300.0,Healthcare-Merck
2013-11-07,45.82,11675400.0,Healthcare-Merck
2013-11-08,46.799999,17423800.0,Healthcare-Merck
